Name,Longitude,Latitude,Description
Centaurus Mall,73.0551,33.7096,Shopping mall with international brands and dining
Faisal Mosque,73.0405,33.7291,Iconic mosque and architectural landmark
Daman-e-Koh,73.0586,33.7491,Popular viewpoint overlooking Islamabad
Pakistan Monument,73.065,33.6938,National monument and museum
Lok Virsa Museum,73.0666,33.6923,Cultural museum showcasing Pakistani heritage
Rawal Lake,73.1284,33.7085,Artificial lake with boating and picnic areas
Saidpur Village,73.0855,33.7378,Historic village turned into cultural and dining hub
Lake View Park,73.1327,33.7071,Recreational park near Rawal Lake
Jinnah Super Market,73.0477,33.7199,Famous shopping and dining area
Blue Area,73.0599,33.7088,Main business and commercial district
F-9 Park (Fatima Jinnah Park),73.0217,33.6932,Large urban park with walking trails
Margalla Hills National Park,73.0661,33.7771,Nature park for hiking and wildlife
Safa Gold Mall,73.0495,33.7187,Luxury shopping mall in F-7
Parliament House,73.0912,33.719,Seat of the National Assembly of Pakistan
Supreme Court Building,73.0954,33.7195,Judicial landmark near Constitution Avenue
Pir Sohawa,73.0562,33.773,Hilltop spot with restaurants and views of Islamabad
Monal Restaurant,73.0569,33.7725,Scenic restaurant on Margalla Hills
Rose and Jasmine Garden,73.101,33.695,Beautiful garden with floral displays
Rawalpindi Cricket Stadium,73.0568,33.6275,International cricket venue
Ayub National Park,73.087,33.5725,Large park with zoo and recreational facilities
Raja Bazaar,73.0509,33.601,Traditional market in old Rawalpindi
Saddar Rawalpindi,73.0465,33.598,Commercial center with shops and eateries
Nust University H-12,72.9991,33.6454,Leading science and technology university
Bahria Town Phase 7,73.104,33.5375,Modern residential and commercial area
Giga Mall,73.0908,33.5087,Large shopping mall in DHA Islamabad
DHA Islamabad Phase 2,73.0978,33.5471,Planned residential area with amenities
Lal Haveli,73.0554,33.6001,Historic political landmark in Rawalpindi
Army Museum Rawalpindi,73.0922,33.5893,Museum showcasing Pakistan Army heritage
Shah Faisal Avenue,73.0653,33.7015,Major road connecting central Islamabad
Islamabad Zoo (Old Site),73.0572,33.7303,Former zoo area now part of Margalla Hills project
